commonNameINat
kozobrada kyjačikovitá
nevädzka porýnska
nevädzník hlaváčovitý
ibištek sýrsky
rumanovec farbiarsky
zápalička väčšia
ostružina ožinová
štetôčka srstnatá
dúška tymianová
rebríček túžobníkový
turanec kanadský
ďatelina purpurová
čerešňa mahalebková
hadokoreň sivý
čerešňa višňová
cesnak pažítkový
divozel tmavočervený
štiav lúčny
arábka strmobyľová
astra kopijovitolistá
astra krovinatá
bledavka ihlanovitá
budleja Dávidova
citrónovníkovec trojlistý
kosatček sieťkovaný
krásnoočko farbiarske
šošovica jedlá
kysličkovec rožkatý
rumanček kamilkový
rozchodník plazivý
pupalka dvojročná
pupalka dvojročná
veternica vznešená
mohár praslenatý
mohár praslenatý
mohár zelený
modrica strapcovitá
pór záhradný
slamiha slamienková
cesnak
jahoda drúzgavicová
ostružina malinová
žitniak hrebenitý
turica ostrozubá
divozel južný
cesnak člnkovitý
blšník červienkový
horčík jastrabníkolistý
leknovec štítnatý
pohánkovec
bledavka hrebenitá
lipnica cibuľkatá
strmobyľka ovisnutá
vachta trojlistá
kostrava žliabkatá
kortúza Mattioliho
arábovka
voškovník pobrežný
voškovník talianský
starček vajcovitolistý
kostihoj srdcovitolistý
veronika prímorská
timotejka švajčiarska
päťprstnica
rebríček bertrámový
mechúrnik stromovitý
ľadenec Borbášov
ostrica Hartmanova
centrant červený
zvonček lekársky
kamzičník chlpatý
záraza väčšia
tomka
voškovník
ostňohlávok
agastiana
repík
alchemilka uzavretá
alchemilka vejárovitá
alstónia
ibiš konopný
láskavec hybridný
láskavec Standleyho
púšťovník
amóm Smithovej
amoruxia
amoruxia slezolistá
smohla
barbusana
aralka srdcovitá
argánia
pyknokoma
pyknokoma veľkolistá
arnébia
palina rakúska
astra pyrenejská
bambus trsťovitý
bartéria
begónia listnatá
beninkáza
dráč ostitý
dráč čínsky
papierovník čínsky
kalanta
kôstkovičník pílkovitý
ostrica Leersova
plievkohlávok
